'"country"','"gdpPercap"',"pop","lifeExp","gdpPercap"
'北海道','北海道',5286,68.6,264
'青森県','東北',1263,135.6,22
'岩手県','東北',1241,83.8,0
'宮城県','東北',2316,320.5,51
'秋田県','東北',981,87.9,15
'山形県','東北',1090,120.5,38
'福島県','東北',1864,138.9,38
'茨城県','関東',2877,478.4,109
'栃木県','関東',1946,308.1,35
'群馬県','関東',1952,310.1,90
'埼玉県','関東',7330,1913.4,415
'千葉県','関東',6255,1206.5,467
'東京都','関東',13822,6168.7,2068
'神奈川県','関東',9177,3777.7,545
'新潟県','中部',2246,183.1,42
'富山県','中部',1050,251.0,44
'石川県','中部',1143,275.7,113
'福井県','中部',774,187.7,88
'山梨県','中部',817,187.0,35
'長野県','中部',2063,154.8,29
'岐阜県','中部',1997,191.3,112
'静岡県','中部',3659,475.8,41
'愛知県','中部',7537,1446.7,326
'三重県','中部',1791,314.5,17
'滋賀県','近畿',1412,351.7,38
'京都府','近畿',2591,566.0,193
'大阪府','近畿',8813,4639.8,811
'兵庫県','近畿',5484,658.8,375
'奈良県','近畿',1339,369.6,41
'和歌山県','近畿',935,203.9,39
'鳥取県','中国',560,163.5,1
'島根県','中国',680,103.5,7
'岡山県','中国',1898,270.1,15
'広島県','中国',2817,335.4,62
'山口県','中国',1370,229.8,23
'徳島県','四国',736,182.3,3
'香川県','四国',962,520.2,8
'愛媛県','四国',1352,244.1,30
'高知県','四国',706,102.5,60
'福岡県','九州',5107,1023.1,362
'佐賀県','九州',819,341.2,13
'長崎県','九州',1341,333.3,14
'熊本県','九州',1757,241.1,27
'大分県','九州',1144,183.9,42
'宮崎県','九州',1081,142.7,17
'鹿児島県','九州',1614,179.4,4
'沖縄県','九州',1448,628.4,65